question,answer,guess_word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,jurisdictions,incorrect
haphazardly,randomly,densely,incorrect
prominent,conspicuous,battered,incorrect
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,ceremonies,incorrect
solitary,alone,restless,incorrect
hasten,accelerate,accelerate,correct
perseverance,endurance,endurance,correct
fanciful,imaginative,imaginative,correct
showed,demonstrated,repeated,incorrect
constantly,continually,instantly,incorrect
issues,subjects,benefits,incorrect
furnish,supply,advise,incorrect
costly,expensive,expensive,correct
recognized,acknowledged,acknowledged,correct
spot,location,location,correct
make,earn,trade,incorrect
often,frequently,hardly,incorrect
easygoing,relaxed,relaxed,correct
debate,argument,election,incorrect
narrow,thin,clear,incorrect
arranged,planned,planned,correct
infinite,limitless,relative,incorrect
showy,striking,prickly,incorrect
levied,imposed,imposed,correct
deftly,skillfully,humorously,incorrect
distribute,circulate,commercialize,incorrect
discrepancies,differences,deposits,incorrect
prolific,productive,promising,incorrect
unmatched,unequaled,unrecognized,incorrect
peculiarly,uniquely,,guess
hue,color,color,correct
hind,rear,rear,correct
highlight,accentuate,alter,incorrect
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,overtly,incorrect
physician,doctor,nurse,incorrect
essentially,basically,basically,correct
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,incorrect
tasks,jobs,materials,incorrect
unlikely,improbable,improbable,correct
halfheartedly,apathetically,,guess
annals,chronicles,trails,incorrect
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,incorrect
command,mastery,observation,incorrect
concocted,devised,devised,correct
prospective,potential,prominent,incorrect
generally,broadly,accurately,incorrect
sustained,prolonged,prolonged,correct
perilous,dangerous,binding,incorrect
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,disperse,correct
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,permitted,incorrect
expeditiously,rapidly,repeatedly,incorrect
percentage,proportion,profit,incorrect
terminated,ended,evaluated,incorrect
uniform,alike,hard,incorrect
figure,solve,list,incorrect
sufficient,enough,valuable,incorrect
fashion,manner,craze,incorrect
marketed,sold,diluted,incorrect
bigger,larger,closer,incorrect
roots,origins,origins,correct
normally,ordinarily,permanently,incorrect
