question,answer,guess_word,label
enormously,tremendously,tremendously,correct
provisions,stipulations,stipulations,correct
haphazardly,randomly,randomly,correct
prominent,conspicuous,ancient,incorrect
zenith,pinnacle,pinnacle,correct
flawed,imperfect,imperfect,correct
urgently,desperately,desperately,correct
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,correct
salutes,greetings,greetings,correct
solitary,alone,restless,incorrect
hasten,accelerate,accelerate,correct
perseverance,endurance,generosity,incorrect
fanciful,imaginative,imaginative,correct
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,subjects,correct
furnish,supply,advise,incorrect
costly,expensive,expensive,correct
recognized,acknowledged,successful,incorrect
spot,location,location,correct
make,earn,earn,correct
often,frequently,frequently,correct
easygoing,relaxed,relaxed,correct
debate,argument,argument,correct
narrow,thin,clear,incorrect
arranged,planned,planned,correct
infinite,limitless,limitless,correct
showy,striking,prickly,incorrect
levied,imposed,imposed,correct
deftly,skillfully,skillfully,correct
distribute,circulate,circulate,correct
discrepancies,differences,differences,correct
prolific,productive,promising,incorrect
unmatched,unequaled,unequaled,correct
peculiarly,uniquely,uniquely,correct
hue,color,color,correct
hind,rear,hairy,incorrect
highlight,accentuate,alter,incorrect
hastily,hurriedly,hurriedly,correct
temperate,mild,mild,correct
grin,smile,smile,correct
verbally,orally,orally,correct
physician,doctor,pharmacist,incorrect
essentially,basically,basically,correct
keen,sharp,useful,incorrect
situated,positioned,isolated,incorrect
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,jobs,correct
unlikely,improbable,unpopular,incorrect
halfheartedly,apathetically,unconventionally,incorrect
annals,chronicles,chronicles,correct
wildly,furiously,furiously,correct
hailed,acclaimed,addressed,incorrect
command,mastery,observation,incorrect
concocted,devised,devised,correct
prospective,potential,potential,correct
generally,broadly,broadly,correct
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,correct
tranquillity,peacefulness,peacefulness,correct
dissipate,disperse,isolate,incorrect
primarily,chiefly,chiefly,correct
colloquial,conversational,conversational,correct
resolved,settled,settled,correct
feasible,possible,possible,correct
expeditiously,rapidly,repeatedly,incorrect
percentage,proportion,proportion,correct
terminated,ended,postponed,incorrect
uniform,alike,hard,incorrect
figure,solve,list,incorrect
sufficient,enough,enough,correct
fashion,manner,manner,correct
marketed,sold,sold,correct
bigger,larger,better,incorrect
roots,origins,origins,correct
normally,ordinarily,ordinarily,correct
